                  [µ/rho]
    E             Total
   keV            cm2 g-1
1.447200E-02  1.779605E+05
1.468800E-02  1.731427E+05
1.492335E-02  1.681091E+05
1.595306E-02  1.492979E+05
1.705382E-02  1.318692E+05
1.823053E-02  1.155178E+05
1.948844E-02  1.007687E+05
2.083314E-02  8.780525E+04
2.227063E-02  7.658527E+04
2.380730E-02  6.695133E+04
2.545001E-02  5.869505E+04
2.720606E-02  5.160399E+04
2.908327E-02  4.548471E+04
3.109002E-02  4.017494E+04
3.165400E-02  3.888790E+04
3.213850E-02  3.782392E+04
3.226770E-02  3.754628E+04
3.246150E-02  3.733160E+04
3.294600E-02  3.633170E+04
3.323523E-02  3.574922E+04
3.552846E-02  3.171862E+04
3.797993E-02  2.817329E+04
4.060054E-02  2.504142E+04
4.340198E-02  2.226730E+04
4.639671E-02  1.980435E+04
4.959809E-02  1.761520E+04
5.302035E-02  1.566672E+04
5.667876E-02  1.393008E+04
6.058959E-02  1.237927E+04
6.477028E-02  1.099647E+04
6.923942E-02  9.764647E+03
7.401695E-02  8.667268E+03
7.912411E-02  7.690856E+03
8.458368E-02  6.822385E+03
9.041995E-02  6.047033E+03
9.665893E-02  5.353934E+03
9.692200E-02  5.329447E+03
9.840550E-02  5.191818E+03
9.880110E-02  5.155316E+03
9.939450E-02  5.395866E+04
1.008780E-01  4.431455E+04
1.033284E-01  3.245402E+04
1.104581E-01  1.472493E+04
1.180797E-01  8.532402E+03
1.262272E-01  6.055409E+03
1.349368E-01  4.816287E+03
1.442475E-01  4.089152E+03
1.542005E-01  3.619381E+03
1.648404E-01  3.303304E+03
1.762144E-01  3.092845E+03
1.842400E-01  3.002093E+03
1.870600E-01  2.973551E+03
1.875720E-01  2.968538E+03
1.878120E-01  2.966623E+03
1.883732E-01  2.806252E+04
1.889400E-01  2.790400E+04
1.904430E-01  2.749560E+04
1.912086E-01  2.728784E+04
1.917600E-01  2.762757E+04
1.923570E-01  2.801060E+04
1.952280E-01  2.730296E+04
2.013709E-01  2.579405E+04
2.016840E-01  2.572951E+04
2.047710E-01  2.509356E+04
2.055942E-01  2.492420E+04
2.068290E-01  2.499691E+04
2.099160E-01  2.436225E+04
2.152655E-01  2.326460E+04
2.301188E-01  2.070888E+04
2.459970E-01  1.843633E+04
2.629708E-01  1.642567E+04
2.649920E-01  1.622971E+04
2.690480E-01  1.583531E+04
2.701296E-01  1.573005E+04
2.717520E-01  1.596322E+04
2.758080E-01  1.556317E+04
2.811158E-01  1.503756E+04
3.005128E-01  1.346135E+04
3.212482E-01  1.206385E+04
3.434143E-01  1.081697E+04
3.671099E-01  9.696449E+03
3.924405E-01  8.683583E+03
4.195189E-01  7.761094E+03
4.484657E-01  6.915861E+03
4.794098E-01  6.143603E+03
5.124891E-01  5.440753E+03
5.478508E-01  4.804400E+03
5.856525E-01  4.231648E+03
6.260625E-01  3.719028E+03
6.692609E-01  3.262395E+03
7.154399E-01  2.857865E+03
7.648052E-01  2.500840E+03
8.150660E-01  2.200901E+03
8.175768E-01  2.186526E+03
8.275415E-01  2.135793E+03
8.315300E-01  2.115699E+03
8.358585E-01  6.835642E+03
8.442575E-01  6.671656E+03
8.476515E-01  6.606772E+03
8.483340E-01  6.593788E+03
8.527425E-01  9.581530E+03
8.654700E-01  9.233660E+03
8.739896E-01  9.009860E+03
9.342948E-01  7.634974E+03
9.987612E-01  6.497443E+03
1.067676E+00  5.519050E+03
1.100932E+00  5.123360E+03
1.117783E+00  4.937214E+03
1.122277E+00  4.889093E+03
1.129017E+00  5.576045E+03
1.141345E+00  5.424953E+03
1.145868E+00  5.371646E+03
1.180312E+00  4.988834E+03
1.198378E+00  4.812228E+03
1.203196E+00  4.766801E+03
1.210422E+00  5.004297E+03
1.220098E+00  4.909262E+03
1.228488E+00  4.830144E+03
1.304285E+00  4.208283E+03
1.334074E+00  4.004850E+03
1.354493E+00  3.874703E+03
1.359939E+00  3.841151E+03
1.368106E+00  3.964587E+03
1.388526E+00  3.841529E+03
1.394281E+00  3.807944E+03
1.490486E+00  3.280735E+03
1.593329E+00  2.812217E+03
1.703269E+00  2.405280E+03
