                  [µ/rho]
    E             Total
   keV            cm2 g-1
1.067676E+00  1.889713E+03
1.141345E+00  1.574482E+03
1.220098E+00  1.311753E+03
1.278900E+00  1.157573E+03
1.298475E+00  1.107582E+03
1.304285E+00  1.092854E+03
1.311525E+00  3.992348E+03
1.331100E+00  3.940313E+03
1.394281E+00  3.704564E+03
1.490486E+00  3.162900E+03
1.593329E+00  2.624967E+03
1.703269E+00  2.157619E+03
1.820795E+00  1.797577E+03
1.946430E+00  1.503429E+03
2.080733E+00  1.261265E+03
2.224304E+00  1.058523E+03
2.377781E+00  8.880596E+02
2.541848E+00  7.444002E+02
2.717235E+00  6.212960E+02
2.904724E+00  5.173892E+02
3.105150E+00  4.290993E+02
3.319406E+00  3.545236E+02
3.548445E+00  2.929419E+02
3.793288E+00  2.420967E+02
4.055024E+00  2.001058E+02
4.334821E+00  1.654287E+02
4.633924E+00  1.367812E+02
4.953664E+00  1.131177E+02
5.295467E+00  9.357359E+01
5.660855E+00  7.740566E+01
6.051453E+00  6.365486E+01
6.469004E+00  5.236013E+01
6.915365E+00  4.308258E+01
7.392525E+00  3.546236E+01
7.902609E+00  2.920019E+01
8.447890E+00  2.405597E+01
9.030794E+00  1.979044E+01
9.653919E+00  1.618357E+01
1.032004E+01  1.324004E+01
1.103212E+01  1.083804E+01
1.179334E+01  8.880364E+00
1.260708E+01  7.285508E+00
1.347697E+01  5.985142E+00
1.440688E+01  4.924846E+00
1.540095E+01  4.059925E+00
1.646362E+01  3.354111E+00
1.759961E+01  2.777976E+00
1.881398E+01  2.307417E+00
2.011215E+01  1.922910E+00
2.149988E+01  1.608596E+00
2.298338E+01  1.351408E+00
2.456923E+01  1.140846E+00
2.626450E+01  9.683479E-01
2.807676E+01  8.244313E-01
3.001405E+01  7.049498E-01
3.208502E+01  6.074973E-01
3.429889E+01  5.278823E-01
3.666551E+01  4.627081E-01
3.919543E+01  4.092518E-01
4.189992E+01  3.652683E-01
4.479101E+01  3.289839E-01
4.788159E+01  2.989460E-01
5.118542E+01  2.739848E-01
5.471721E+01  2.531432E-01
5.849270E+01  2.356466E-01
6.252870E+01  2.208589E-01
6.684318E+01  2.082766E-01
7.145536E+01  1.974863E-01
7.638578E+01  1.881388E-01
8.165640E+01  1.799752E-01
8.729069E+01  1.727788E-01
9.331374E+01  1.663570E-01
9.975239E+01  1.605733E-01
1.066353E+02  1.553072E-01
1.139931E+02  1.504644E-01
1.218587E+02  1.459647E-01
1.302669E+02  1.417498E-01
1.392553E+02  1.377675E-01
1.488640E+02  1.339877E-01
